Username,Password,userType
SzilardSandor703,Floffy-2007,customer
JaneBennett_251,JoeBenkight?32,staff
RobenSparta470,RobSparta45!,customer
RobertHarris_136,RobbyHs33*,customer
JamesSanram_483,Sanramhos2,staff
SarahSmith.217,Sarmth45-,admin
SarahSendra-678,Sarsen74^,staff
CalebBen-Ramsey-170,CalebDogs1974!,admin
1,1,admin
manimmmanimmr295,manimm78!,customer
manimmmanimmr.957,manimm78!,staff
SpartaHenry,sparHenry!,staff
SpartaHenry2,sparHenry!,staff
naninaninaninani330,naninani_754,customer
naninaninaninani.105,naninani_754,customer
naninaninaninani-568,naninani_754,customer
jajijajijajijaji_691,jajijaji_0877,customer
gagigagigagigagi-684,gagigagi_764,customer
tajitajitajitaji_121,tajitaji_86,customer
jajahijajahi-599,jajahi_65,customer
jajahijajahi773,jajahi_65,customer
jajahijajahi.760,jajahi_65,customer
jajahijajahi_408,jajahi_65,customer
